HOST,IP,PORT,STATUS,DATE,PING_BEGINS,PING_ENDS
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:00.772, 00:42:00.774
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:01.792, 00:42:01.793
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:02.807, 00:42:02.811
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:03.826, 00:42:03.828
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:04.844, 00:42:04.845
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:05.863, 00:42:05.864
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:06.878, 00:42:06.878
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:07.896, 00:42:07.896
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:08.912, 00:42:08.913
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:09.925, 00:42:09.931
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:10.965, 00:42:10.966
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:11.985, 00:42:11.990
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:13.012, 00:42:13.014
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:14.021, 00:42:14.022
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:15.035, 00:42:15.042
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:16.070, 00:42:16.073
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:17.089, 00:42:17.089
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:18.107, 00:42:18.112
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:19.147, 00:42:19.147
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:20.175, 00:42:20.179
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:21.198, 00:42:21.204
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:22.218, 00:42:22.223
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:23.237, 00:42:23.237
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:24.261, 00:42:24.261
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:25.279, 00:42:25.286
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:26.313, 00:42:26.315
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:27.329, 00:42:27.330
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:28.351, 00:42:28.361
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:29.416, 00:42:29.416
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:30.425, 00:42:30.427
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:31.431, 00:42:31.446
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:32.466, 00:42:32.469
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:33.488, 00:42:33.488
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:34.520, 00:42:34.521
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:35.536, 00:42:35.537
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:42:36.563, 00:42:39.583
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:42:40.588, 00:42:43.610
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:42:44.621, 00:42:47.650
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:48.668, 00:42:48.669
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:49.687, 00:42:49.688
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:50.712, 00:42:50.715
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:51.728, 00:42:51.730
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:52.738, 00:42:52.740
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:53.763, 00:42:53.763
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:54.781, 00:42:54.783
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:55.794, 00:42:55.798
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:56.809, 00:42:56.810
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:57.821, 00:42:57.824
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:58.845, 00:42:58.850
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:42:59.870, 00:42:59.871
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:00.890, 00:43:00.891
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:01.904, 00:43:01.905
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:02.919, 00:43:02.920
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:03.936, 00:43:03.937
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:04.946, 00:43:04.946
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:05.964, 00:43:05.964
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:06.982, 00:43:06.982
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:07.989, 00:43:07.990
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:08.995, 00:43:08.996
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:10.025, 00:43:10.025
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:11.046, 00:43:11.046
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:12.064, 00:43:12.065
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:43:13.098, 00:43:16.107
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:43:17.129, 00:43:20.146
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:21.158, 00:43:21.160
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:22.177, 00:43:22.180
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:23.200, 00:43:23.202
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:24.219, 00:43:24.220
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:25.250, 00:43:25.252
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:26.268, 00:43:26.269
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:43:27.287, 00:43:27.288
